encoderAngle, potentiometerVoltage
-620.859375, 0.57421875
-621.298828125, 0.57421875
-621.73828125, 0.5625
-622.265625, 0.58203125
-622.79296875, 0.5625
-623.408203125, 0.578125
-624.0234375, 0.57421875
-624.7265625, 0.5703125
-625.517578125, 0.58203125
-626.30859375, 0.56640625
-627.275390625, 0.58203125
-628.154296875, 0.578125
-629.12109375, 0.58203125
-630.087890625, 0.578125
-630.966796875, 0.578125
-632.021484375, 0.58984375
-632.98828125, 0.56640625
-633.955078125, 0.59375
-634.833984375, 0.578125
-635.625, 0.5859375
-636.50390625, 0.58984375
-637.3828125, 0.57421875
-638.173828125, 0.59375
-638.96484375, 0.57421875
-639.84375, 0.59765625
-640.72265625, 0.5859375
-641.42578125, 0.58984375
-642.12890625, 0.59375
-642.83203125, 0.5859375
-643.53515625, 0.59765625
-644.150390625, 0.58203125
-644.765625, 0.6015625
-645.29296875, 0.58984375
-645.908203125, 0.5859375
-646.435546875, 0.60546875
-646.962890625, 0.5859375
-647.490234375, 0.6015625
-648.017578125, 0.58984375
-648.544921875, 0.59765625
-649.072265625, 0.59765625
-649.6875, 0.59375
-650.390625, 0.6015625
-651.09375, 0.59375
-651.796875, 0.60546875
-652.587890625, 0.59375
-653.291015625, 0.6015625
-654.08203125, 0.6015625
-654.78515625, 0.59375
-655.400390625, 0.6171875
-656.015625, 0.59375
-656.54296875, 0.61328125
-657.0703125, 0.6015625
-657.59765625, 0.59765625
-658.212890625, 0.61328125
-658.740234375, 0.6015625
-659.1796875, 0.6171875
-659.619140625, 0.59765625
-660.146484375, 0.61328125
-660.9375, 0.60546875
-661.81640625, 0.60546875
-662.87109375, 0.6171875
-664.1015625, 0.6015625
-665.33203125, 0.62109375
-666.650390625, 0.6015625
-667.880859375, 0.6171875
-669.111328125, 0.6171875
-670.166015625, 0.609375
-671.044921875, 0.62109375
-671.748046875, 0.609375
-672.275390625, 0.625
-672.71484375, 0.6171875
-673.330078125, 0.6171875
-673.857421875, 0.625
-674.384765625, 0.61328125
-675.0, 0.63671875
-675.615234375, 0.61328125
-676.142578125, 0.625
-676.669921875, 0.6171875
-677.197265625, 0.6171875
-677.548828125, 0.62890625
-677.900390625, 0.609375
-678.1640625, 0.6328125
-678.33984375, 0.61328125
-678.427734375, 0.62109375
-678.603515625, 0.625
-678.779296875, 0.6171875
-678.779296875, 0.6328125
-678.955078125, 0.6171875
-679.130859375, 0.6328125
-679.306640625, 0.6171875
-679.306640625, 0.625
-679.39453125, 0.62890625
-679.482421875, 0.61328125
-679.74609375, 0.63671875
-679.921875, 0.609375
-680.2734375, 0.63671875
-680.625, 0.62109375
-681.064453125, 0.62109375
-681.591796875, 0.6328125
-682.20703125, 0.61328125
-682.734375, 0.6328125
-683.26171875, 0.62109375
-683.7890625, 0.62890625
-684.228515625, 0.62890625
-684.580078125, 0.625
-684.931640625, 0.63671875
-685.283203125, 0.625
-685.72265625, 0.6328125
-686.162109375, 0.625
-686.77734375, 0.6328125
-687.48046875, 0.63671875
-688.18359375, 0.62109375
-688.18359375, 0.64453125
-689.94140625, 0.62109375
-690.908203125, 0.64453125
-691.875, 0.6328125
-692.75390625, 0.6328125
-693.6328125, 0.640625
-694.423828125, 0.62109375
-695.0390625, 0.65625
-695.7421875, 0.625
